模块,类名,方法名,功能描述,输入参数,返回值,时间复杂度,空间复杂度,实现状态,代码位置
倒排索引,InvertedFileIndex,addVectors,"批量添加向量到索引","vectors: List<VectorDoc> - 向量文档列表",void,O(m×k×d),O(m×d),✅ 已实现,InvertedFileIndex.java:120-124
倒排索引,InvertedFileIndex,search,"执行 ANN 搜索","queryVector: float[] - 查询向量
k: int - 返回结果数
nprobe: int - 搜索的簇数量",List<SearchResult> - 搜索结果列表 (按相似度排序),O(k×d + nprobe×m×d + m×log(m)),O(nprobe×m),✅ 已实现,InvertedFileIndex.java:133-160
倒排索引,InvertedFileIndex,save,"保存索引到文件","filepath: String - 文件路径",void,O(n×d),O(1),✅ 已实现,InvertedFileIndex.java:324-329
倒排索引,InvertedFileIndex,load,"从文件加载索引","filepath: String - 文件路径",InvertedFileIndex - 加载的索引实例,O(n×d),O(n×d),✅ 已实现,InvertedFileIndex.java:335-341
倒排索引,InvertedFileIndex,getStats,"获取索引统计信息",无,Map<String, Object> - 统计信息,O(nlist),O(1),✅ 已实现,InvertedFileIndex.java:299-321
倒排索引,InvertedFileIndex,isTrained,"检查索引是否已训练",无,boolean - 是否已训练,O(1),O(1),✅ 已实现,InvertedFileIndex.java:348-350
倒排索引,InvertedFileIndex,size,"获取索引中的向量总数",无,int - 向量数量,O(nlist),O(1),✅ 已实现,InvertedFileIndex.java:356-362
倒排索引,InvertedFileIndex,clear,"清空索引中的所有向量 (保留训练)",无,void,O(nlist),O(1),✅ 已实现,InvertedFileIndex.java:368-372
查询构建,IVFQueryBuilder,doToQuery,"将 IVF 查询转换为 Lucene Query","context: SearchExecutionContext - 搜索上下文",Query - Lucene 查询对象,O(k×d + nprobe×m×d),O(nprobe×m),✅ 已实现,IVFQueryBuilder.java:107-130
查询构建,IVFQueryBuilder,addVectorToIndex,"添加向量到 IVF 索引 (静态方法)","indexName: String - 索引名称
docId: String - 文档 ID
vector: float[] - 向量
metadata: Map<String, Object> - 元数据",void,O(k×d),O(d),✅ 已实现,IVFQueryBuilder.java:181-196
查询构建,IVFQueryBuilder,trainIndex,"训练 IVF 索引 (静态方法)","indexName: String - 索引名称
trainingVectors: float[][] - 训练向量
dimension: int - 向量维度
metricType: String - 距离度量类型",void,O(n×k×d×i),O(n×d + k×d),✅ 已实现,IVFQueryBuilder.java:202-217
查询构建,IVFQueryBuilder,field,"设置向量字段名","field: String - 字段名",IVFQueryBuilder - 构建器实例,O(1),O(1),✅ 已实现,IVFQueryBuilder.java:238-241
查询构建,IVFQueryBuilder,vector,"设置查询向量","vector: float[] - 查询向量",IVFQueryBuilder - 构建器实例,O(1),O(d),✅ 已实现,IVFQueryBuilder.java:247-250
查询构建,IVFQueryBuilder,nprobe,"设置搜索簇数","nprobe: int - 簇数量",IVFQueryBuilder - 构建器实例,O(1),O(1),✅ 已实现,IVFQueryBuilder.java:266-269
查询构建,IVFQueryBuilder,k,"设置返回结果数","k: int - 结果数量",IVFQueryBuilder - 构建器实例,O(1),O(1),✅ 已实现,IVFQueryBuilder.java:275-278
字段映射,VectorFieldMapper,parseCreateField,"解析并创建向量字段","context: ParseContext - 解析上下文",void,O(d + k×d),O(d),✅ 已实现,VectorFieldMapper.java:154-209
字段映射,VectorFieldMapper,TypeParser.parse,"解析字段映射配置","name: String - 字段名
node: Map<String, Object> - 配置节点
parserContext: ParserContext - 解析上下文",Builder - 字段构建器,O(1),O(1),✅ 已实现,VectorFieldMapper.java:42-72
向量字段,VectorField,构造函数 (List),"从 List<Float> 创建向量字段","name: String - 字段名
vector: List<Float> - 向量列表",VectorField 实例,O(d),O(d),✅ 已实现,VectorField.java:30-33
向量字段,VectorField,构造函数 (Array),"从 float[] 创建向量字段","name: String - 字段名
vector: float[] - 向量数组",VectorField 实例,O(d),O(d),✅ 已实现,VectorField.java:41-44
向量字段,VectorField,decodeVector,"从 BytesRef 解码向量","bytes: BytesRef - 字节数据",float[] - 向量数组,O(d),O(d),✅ 已实现,VectorField.java:66-73
向量字段,VectorField,getVector,"获取向量数组",无,float[] - 向量数组,O(d),O(d),✅ 已实现,VectorField.java:79-81
